Charge (C),Temperature (K)
-0.000207239364,1669.392522703457
9.788916e-05,1669.792816611147
0.000394987986,1669.661062333937
0.0006932364,1669.9233828427527
0.000977707176,1670.0223704226714
0.0012633449579999,1670.1853647024743
0.001531181544,1670.4154242085651
0.0018001851359999,1670.3807640427972
0.002061716406,1670.182728342435
0.0023186667419999,1669.4108553083531
0.002559557682,1669.098304973851
0.002796442482,1668.661298547289
0.0030138017039999,1668.331516233125
0.00322372344,1667.8521725880769
0.003413004846,1667.7478780216277
0.003597113106,1667.7476861383143
0.003768593316,1668.0350798680147
0.00392976207,1668.1545241671292
0.004078320192,1668.2515087893255
0.004208502324,1668.236358233538
0.00433412094,1668.2890323468791
0.004440213978,1668.5477569459076
0.004542893088,1668.8467755407082
0.00462892059,1668.7122537374034
0.004707493188,1668.6181410295808
0.004770581184,1668.2838792662064
0.004818184578,1668.091726179401
0.004849153782,1668.0281902117072
0.0048663627659999,1668.02656772075
0.00487381767,1667.9964309393563
0.004854901722,1668.1195536331256
0.00483366918,1668.1290871544225
0.004794670278,1668.067249230614
0.004737887598,1668.0161039338427
0.0046650455219999,1668.0258634241732
0.0045744370859999,1668.0497408912747
0.004462021314,1668.0339344936133
0.004360491792,1668.107667581458
0.004169503422,1668.090828929283
0.004039303872,1668.076376962758
0.0038672488679999,1668.202956201365
0.003671087352,1668.2984375368328
0.003461183034,1668.4223022046322
0.0032455133579999,1668.364724286348
0.003009795564,1668.417722484463
0.002760300132,1668.4928052534133
0.002492446128,1668.6185597289757
0.0022217355719999,1668.6946464356888
0.001933241238,1668.7555032414116
0.001641315558,1668.7253512778366
0.0013476480779999,1668.5511444098124
0.001045968318,1668.1948312836294
0.0007465703159999,1667.6588930587504
0.000454069842,1667.6382457012346
0.000162126744,1667.6742042997284
-0.0001189126859999,1668.077142468746
-0.0004011017039999,1668.2432356529584
-0.000672387054,1668.3376415327866
-0.0009367922939999,1668.1782000931294
-0.001187437314,1668.027583810378
-0.001426029078,1668.0799317554893
-0.001660039908,1668.396137315457
-0.00187626696,1668.5398349356092
-0.002087338284,1668.842187829227
-0.0022834998,1668.9684369206352
-0.0024710394059999,1668.8122155864626
-0.0026396630639999,1668.3327712780983
-0.002803130994,1667.7537220629015
-0.00294938994,1667.895866774949
-0.00308359563,1668.2365879882036
-0.003206340276,1668.7095719347158
-0.003315307284,1669.2260640915306
-0.003416836806,1669.1626807370917
-0.003503439102,1669.2528761105464
-0.003573407208,1669.180219655501
-0.003633638652,1668.7942667933053
-0.0036886969499999,1668.8398623019416
-0.003721390536,1668.9400305049694
-0.003739749108,1668.8635601519063
-0.0037466292179999,1668.833854656169
-0.00374260566,1668.6618979672462
-0.0037167921839999,1668.5535861276198
-0.00367894287,1668.4188734409786
-0.003629615094,1668.4546722176324
-0.003555048636,1668.5350292665798
-0.0035407136219999,1668.5991110636985
-0.003332516268,1668.5302035946434
-0.003238459068,1668.5019831260806
-0.0030893261519999,1668.5149518132291
-0.002920702494,1668.1302305813542
-0.002745198726,1668.2301751081343
-0.002559366084,1668.193637977049
-0.002352318318,1668.0668224741949
-0.002129211156,1667.9643786434826
-0.0018791409299999,1668.0467688636832
-0.001647429276,1668.1435111300843
-0.001385305794,1668.2580462026258
-0.0011134456499999,1668.4686350088605
-0.0008329810139999,1668.4405440423448
-0.0005347326,1668.4346168126208
-0.000236484186,1668.1316330078066
5.9465052e-05,1667.7636191751326
0.0003622943999999,1667.818563352639
0.000659393226,1667.6285310310725
0.000955917258,1667.739729566492
0.0012369566879999,1667.5218598932324
0.0015105412139999,1667.3585109136716
0.0017766708359999,1667.1225785506604
0.002039351694,1666.9905951646165
0.00229630203,1667.3212643806723
0.0025406243159999,1667.512579721648
0.002760874926,1667.9128512566972
0.0029839820879999,1668.104175258899
0.0031893228899999,1668.4563974533244
0.0033889157519999,1668.3262332785353
0.003574730976,1668.0496494254994
0.003750234744,1667.4767738052974
0.003913702674,1667.3290367860586
0.004060536414,1667.23346644889
0.004198765662,1667.296018589071
0.004327223412,1667.189354643353
0.004441363566,1667.1215438920517
0.004538294736,1666.987239827171
0.0046254718259999,1667.1019204150666
0.00469658952,1667.214549387949
0.004760827104,1667.530847834451
0.0048078557039999,1667.7439461135136
0.004841124084,1668.035520746569
0.004856033892,1668.032619999467
0.004872093288,1668.0315996229883
0.0048640635899999,1667.9490089401577
0.004838267532,1668.0054244601338
0.004808430498,1667.968786339589
0.004748216472,1668.0424783288154
0.004686852858,1668.0358956632272
0.0045847485419999,1667.960141195129
0.004490116548,1667.7623608662095
0.00436164138,1667.7398136231682
0.0042624284519999,1667.740288047613
0.004051357128,1667.704243837788
0.003880434294,1667.593879902614
0.0036969008279999,1667.5579918440983
0.003489853062,1667.3119921640923
0.003269602452,1667.3517946238508
0.003034459452,1667.2825821318293
0.002787263196,1667.2541327227514
0.002529163272,1667.2176206897807
0.00225902751,1667.393733316771
