# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.436000,-0.009856,-0.214574,-3.750711
0.437000,-0.008506,-0.214277,-3.285324
0.438000,-0.007486,-0.213388,-2.798889
0.439000,-0.006037,-0.213454,-2.321335
0.440000,-0.004884,-0.208153,-1.826680
0.441000,-0.003765,-0.204596,-1.335972
0.442000,-0.003534,-0.197714,-0.836713
0.443000,-0.001032,-0.193532,-0.332851
0.444000,0.000648,-0.186288,0.171011
0.445000,0.002294,-0.178188,0.693289
0.446000,0.003611,-0.169725,1.218199
0.447000,0.004928,-0.158957,1.747384
0.448000,0.006904,-0.148025,2.250585
0.449000,0.007760,-0.136006,2.752143
0.450000,0.009341,-0.123328,3.243833
0.451000,0.010724,-0.109959,3.731905
0.452000,0.012272,-0.095866,4.213728
0.453000,0.013391,-0.081246,4.689631
0.454000,0.014873,-0.065539,5.159943
0.455000,0.015960,-0.049206,5.617429
0.456000,0.017441,-0.032742,6.066034
0.457000,0.018627,-0.015718,6.494249
0.458000,0.019812,0.001339,6.907663
0.459000,0.020932,0.018462,7.288847
0.460000,0.021656,0.035651,7.646680
0.461000,0.022348,0.052247,7.963072
0.462000,0.022479,0.068711,8.229473
0.463000,0.023039,0.084352,8.456408
0.464000,0.023401,0.100224,8.648151
0.465000,0.023566,0.115502,8.807335
0.466000,0.023698,0.130287,8.934615
0.467000,0.023533,0.144051,9.011576
0.468000,0.023368,0.157387,9.040189
0.469000,0.022973,0.169966,9.025060
0.470000,0.022710,0.181985,8.964545
0.471000,0.022150,0.193609,8.861602
0.472000,0.022084,0.204113,8.716232
0.473000,0.021426,0.214321,8.537315
0.474000,0.020800,0.223310,8.312025
0.475000,0.019977,0.232135,8.063713
0.476000,0.019088,0.239708,7.776920
0.477000,0.018232,0.247249,7.466119
0.478000,0.017639,0.254131,7.130980
0.479000,0.016816,0.260025,6.767885
0.480000,0.015795,0.265195,6.393280
0.481000,0.014807,0.269542,5.987430
0.482000,0.013687,0.273131,5.574015
0.483000,0.012733,0.275930,5.140210
0.484000,0.011613,0.278169,4.700156
0.485000,0.010526,0.279288,4.242342
0.486000,0.009571,0.279716,3.777621
0.487000,0.008682,0.279255,3.307966
0.488000,0.007530,0.277840,2.822525
0.489000,0.006147,0.275633,2.344319
0.490000,0.005027,0.272867,1.849340
0.491000,0.003513,0.261770,1.360609
0.492000,0.002327,0.264240,0.860037
0.493000,0.001998,0.260124,0.357821
0.494000,-0.000274,0.251826,-0.147027
0.495000,-0.000604,0.242705,-0.662401
0.496000,-0.003501,0.234637,-1.187312
0.497000,-0.005049,0.224693,-1.711896
0.498000,-0.006629,0.213629,-2.215432
0.499000,-0.007848,0.201874,-2.716995
0.500000,-0.009264,0.189822,-3.205403
0.501000,-0.010746,0.175992,-3.695128
0.502000,-0.011964,0.161602,-4.174329
0.503000,-0.013511,0.146653,-4.652544
0.504000,-0.014894,0.130946,-5.121551
0.505000,-0.016376,0.114976,-5.580035
0.506000,-0.017529,0.098347,-6.027337
0.507000,-0.018418,0.081586,-6.455235
0.508000,-0.019636,0.064562,-6.867676
0.509000,-0.021052,0.047604,-7.250517
0.510000,-0.021678,0.030547,-7.609020
0.511000,-0.022369,0.013391,-7.931016
0.512000,-0.022830,-0.002941,-8.219793
0.513000,-0.023423,-0.018813,-8.464826
0.514000,-0.023522,-0.034816,-8.671707
0.515000,-0.023884,-0.050029,-8.834185
0.516000,-0.023719,-0.064946,-8.951604
0.517000,-0.023588,-0.078710,-9.022977
0.518000,-0.023522,-0.092244,-9.051592
0.519000,-0.023258,-0.105053,-9.030871
0.520000,-0.022731,-0.117072,-8.970023
0.521000,-0.022369,-0.128630,-8.866418
0.522000,-0.021842,-0.139035,-8.721042
0.523000,-0.021414,-0.149013,-8.541460
0.524000,-0.020789,-0.158430,-8.319450
0.525000,-0.020163,-0.166860,-8.075404
0.526000,-0.019406,-0.174763,-7.786298
0.527000,-0.018681,-0.182172,-7.481077
0.528000,-0.017628,-0.188560,-7.141322
0.529000,-0.016837,-0.194652,-6.783149
0.530000,-0.015882,-0.200052,-6.405900
0.531000,-0.014960,-0.204531,-6.006288
0.532000,-0.014104,-0.208054,-5.597138
0.533000,-0.013050,-0.210787,-5.160690
0.534000,-0.011766,-0.213323,-4.705825
0.535000,-0.010844,-0.214409,-4.264446
0.536000,-0.009659,-0.215265,-3.804650
0.537000,-0.008572,-0.214837,-3.330712
0.538000,-0.007486,-0.213751,-2.852170
0.539000,-0.006300,-0.211314,-2.372314
0.540000,-0.005345,-0.208054,-1.879632
0.541000,-0.003896,-0.204267,-1.391555
0.542000,-0.001855,-0.200678,-0.889336
0.543000,-0.001624,-0.192479,-0.386132
0.544000,0.000286,-0.186914,0.122335
0.545000,0.000582,-0.177661,0.634418
0.546000,0.002986,-0.169988,1.167879
0.547000,0.004632,-0.160209,1.694103
0.548000,0.006377,-0.149243,2.202568
0.549000,0.007892,-0.137389,2.703467
