Time (s),Temperature (K)
0.477,1668.121132054685
0.478,1667.8846101014274
0.479,1667.910831939697
0.48,1667.8626671921834
0.481,1667.9283170762337
0.482,1667.9159500717078
0.483,1667.724044597766
0.484,1667.5118494401968
0.485,1667.6914807482412
0.486,1667.8111888996991
0.487,1668.010107109655
0.488,1668.0388680165352
0.489,1668.1013293194305
0.49,1668.054429779933
0.491,1667.9548660376659
0.492,1667.9564594768008
0.493,1668.2444730989987
0.494,1668.2056327202677
0.495,1668.212731283933
0.496,1668.3430417590698
0.497,1668.4408624421467
0.498,1668.487064999143
0.499,1668.651120020264
0.5,1668.5344836256427
0.501,1668.48471889742
0.502,1668.3902159927834
0.503,1668.4648715150029
0.504,1668.3725018728783
0.505,1668.2373635739523
0.506,1668.0423191508867
0.507,1667.9952083449239
0.508,1667.9533683914901
0.509,1668.064279449925
0.51,1668.519843841657
0.511,1668.7963476642108
0.512,1669.0964363484704
0.513,1668.6144193117825
0.514,1668.2695707382736
0.515,1667.9748030122464
0.516,1667.6953774970993
0.517,1667.7505999984128
0.518,1667.679672426067
0.519,1667.5428077190868
0.52,1667.2289364056342
0.521,1667.1702274917757
0.522,1666.8102450068322
0.523,1666.9516266040418
0.524,1667.2982427418738
0.525,1667.6230117007217
0.526,1667.94463630577
0.527,1667.8510298105948
0.528,1667.7142476601266
0.529,1667.56487320187
0.53,1667.4852446170157
0.531,1667.4464411938998
0.532,1667.4964566673034
0.533,1667.4272579767025
0.534,1667.4163008444907
0.535,1667.1292931034727
0.536,1666.8647728969868
0.537,1666.83042204904
0.538,1666.8344639063703
0.539,1666.9402036379142
0.54,1666.9834423715765
0.541,1667.072526794991
0.542,1667.0295836243522
0.543,1667.0569177196244
0.544,1667.1365075728245
0.545,1667.13618476791
0.546,1667.0333089447313
0.547,1667.0750294173872
0.548,1667.1686099168564
0.549,1667.301702853209
0.55,1667.3828792671088
0.551,1667.4654057212206
0.552,1667.5799147941175
0.553,1667.5223655287687
0.554,1667.3795131557922
0.555,1667.3124899048576
0.556,1667.4279582429963
0.557,1667.4136900145581
0.558,1667.1543966983263
0.559,1667.2971257160193
0.56,1667.9583594431929
0.561,1668.2232242824452
0.562,1668.43102178871
0.563,1668.247928325708
0.564,1668.631550205057
0.565,1668.706260754564
0.566,1669.0333635703532
0.567,1669.0027647011602
0.568,1668.6105660156036
0.569,1668.1431835091435
0.57,1667.9283951284956
0.571,1667.5994056420195
0.572,1667.3647807592783
0.573,1667.300174640874
0.574,1667.4820735890157
0.575,1667.6082793822852
0.576,1667.8042262489398
0.577,1667.8290791351474
0.578,1668.0403714641102
0.579,1668.1469865595482
0.58,1668.4325262568582
0.581,1668.3755922679802
0.582,1670.5439124926288
0.583,1670.4388398346969
0.584,1670.4935513181058
0.585,1670.3067681748498
0.586,1670.2851779138186
0.587,1670.1460832672446
0.588,1670.158785826814
0.589,1670.1775991647041
0.59,1670.1598455618814
0.591,1670.564990076833
0.592,1670.6448230583028
0.593,1670.5941434266147
0.594,1670.412375039015
0.595,1670.4119182527775
0.596,1670.3277550578277
0.597,1670.290288197832
0.598,1670.2762357921597
0.599,1670.3285662871272
0.6,1670.4190729307634
0.601,1670.6073040521678
0.602,1670.7162249759099
0.603,1670.7561904011623
0.604,1670.7398847834265
0.605,1670.8971560027057
0.606,1670.560512296779
0.607,1670.5016928023351
0.608,1670.490866893961
0.609,1670.6293846513063
0.61,1670.6689236783932
0.611,1670.6684539948792
0.612,1670.600365620764
0.613,1670.6431504380798
0.614,1670.6094589492623
0.615,1670.7766670925707
0.616,1670.9037107558352
0.617,1670.8117409189545
0.618,1670.839824550943
0.619,1670.5466107953948
0.62,1670.3364304993665
0.621,1670.043371261581
0.622,1670.2184931144739
0.623,1670.5440726921984
0.624,1670.5713153286601
0.625,1670.4537945847692
0.626,1670.26742765673
0.627,1670.0758040648911
